0,0,0,0
50,0.0046,0.0056,0.0032
100,0.016,0.0262,0.0098
150,0.0368,0.0724,0.0212
200,0.066,0.1492,0.028
250,0.1064,0.2536,0.048
300,0.1478,0.4038,0.0608
350,0.1992,0.5836,0.0644
400,0.2646,0.8188,0.085
450,0.3348,1.1018,0.106
500,0.4164,1.4772,0.1396
550,0.5012,1.9606,0.1816
600,0.5916,2.4616,0.1844
650,0.6856,3.0218,0.1884
700,0.8336,3.7982,0.1996
750,0.981,4.6264,0.2358
800,1.1762,5.9676,0.2712
850,1.2632,6.367,0.2722
900,1.4518,7.7064,0.3504
950,1.6008,8.8542,0.3632
1000,1.7934,10.396,0.4558
