0,0,0,0
50,0.0001,0.0002,0.0001
100,0.0005,0.0005,0.0004
150,0.0017,0.001,0.0011
200,0.0022,0.0019,0.0016
250,0.0034,0.0027,0.002
300,0.006,0.0036,0.003
350,0.0067,0.0044,0.0033
400,0.0081,0.0055,0.0041
450,0.0094,0.0068,0.0047
500,0.0112,0.0085,0.0054
550,0.0211,0.0118,0.008
600,0.0233,0.0143,0.0095
650,0.026,0.0168,0.0102
700,0.0284,0.0185,0.0109
750,0.0311,0.0212,0.0119
800,0.0331,0.0237,0.0125
850,0.0356,0.0253,0.0141
900,0.0418,0.0292,0.0152
950,0.0451,0.0325,0.0162
1000,0.0515,0.0382,0.0186
